call,words,AI,inference,agentic,training,video,open_source,physical_AI,KV_cache,LTA_NBM,visibility,pricing,allocation,tight_supply,cyclical,HAMR,exabyte
sndk_2025q3,6328,9,0,0,0,0,0,0,0,0,4,16,1,0,7,0,0
sndk_2025q4,6937,11,3,0,0,0,0,0,0,0,1,7,4,2,2,0,0
sndk_2026q1,8905,10,5,0,1,1,0,0,0,2,6,22,13,7,2,0,8
sndk_2026q2,9531,22,2,0,0,0,0,0,1,8,2,23,11,2,10,0,7
sndk_2026q3,9448,6,7,4,0,0,0,0,5,19,7,32,3,0,4,0,0
sndk_2026q4,10706,25,13,5,0,0,0,1,3,54,16,36,10,0,5,0,1
stx_2024q4,9078,18,1,0,2,5,0,0,0,0,6,28,0,4,4,30,30
stx_2025q1,9141,19,0,0,1,10,0,0,0,0,7,13,0,0,10,36,12
stx_2025q2,8270,14,1,0,1,9,0,0,0,0,5,4,0,6,7,56,23
stx_2025q3,7361,8,4,0,6,8,0,0,0,0,8,9,2,5,2,24,18
stx_2025q4,9199,14,5,1,1,13,0,0,0,1,12,12,0,2,0,39,27
stx_2026q1,9060,12,9,0,2,22,0,0,0,2,8,15,0,6,2,44,37
stx_2026q2,8699,10,2,2,2,5,0,1,0,13,3,34,3,8,1,50,24
stx_2026q3,7991,17,2,7,1,3,0,2,0,1,4,36,5,1,1,57,25
stx_2026q4,8441,18,2,7,2,5,0,7,7,3,8,32,2,1,3,47,37
wdc_2024q4,8291,23,2,0,7,0,0,0,0,0,11,23,2,0,10,3,9
wdc_2025q1,9389,8,0,0,0,0,0,0,0,0,18,15,3,4,10,3,7
wdc_2025q2,7946,10,2,0,1,0,0,0,0,0,12,26,0,6,6,2,9
wdc_2025q3,9417,4,0,0,0,1,0,0,0,18,12,15,4,5,0,10,10
wdc_2025q4,7296,17,0,4,0,0,0,0,0,5,6,6,2,3,4,10,9
wdc_2026q1,7752,38,0,1,0,0,0,0,0,8,1,5,2,6,0,18,24
wdc_2026q2,6049,15,9,3,2,0,0,1,1,8,2,16,0,5,1,25,14
wdc_2026q3,7157,29,15,10,9,1,0,8,0,12,3,39,2,2,1,15,18
wdc_2026q4,7301,33,12,8,8,5,2,7,0,25,13,45,0,1,4,10,25
