month,hf_new_models,hf_new_video_models,hf_new_weights_tb,hf_cum_weights_pb,hf_new_datasets,hf_new_dataset_tb,hf_cum_dataset_pb
2022-06,6780,0,0,0,1283,6,0.06
2022-07,6048,0,0,0,1097,2,0.06
2022-08,5540,0,0,0,998,3,0.06
2022-09,6160,0,1,0,1419,3,0.06
2022-10,7867,0,1,0.01,2117,14,0.08
2022-11,9540,0,0,0.01,2022,4,0.08
2022-12,13251,0,1,0.01,1799,19,0.1
2023-01,14663,0,0,0.01,2921,14,0.12
2023-02,16278,2,1,0.01,2844,110,0.23
2023-03,22034,9,1,0.01,3388,213,0.44
2023-04,22563,7,3,0.01,5580,56,0.49
2023-05,23333,9,5,0.02,5485,123,0.62
2023-06,23714,6,12,0.03,4279,63,0.68
2023-07,29739,2,12,0.04,4868,57,0.74
2023-08,34671,6,26,0.07,8728,35,0.77
2023-09,29915,3,61,0.13,6894,90,0.86
2023-10,31003,12,36,0.16,8851,194,1.05
2023-11,36233,18,72,0.23,7291,171,1.23
2023-12,34241,12,95,0.33,7876,87,1.31
2024-01,37651,4,128,0.46,11808,167,1.48
2024-02,37717,9,110,0.57,10532,169,1.65
2024-03,41781,11,110,0.68,11425,143,1.79
2024-04,47946,11,208,0.89,12103,332,2.12
2024-05,54475,4,176,1.06,15153,495,2.62
2024-06,51772,12,153,1.21,14204,562,3.18
2024-07,55071,10,177,1.39,14492,262,3.44
2024-08,78285,9,147,1.54,15658,145,3.59
2024-09,125091,22,186,1.72,16161,292,3.88
2024-10,64348,24,180,1.9,16285,572,4.45
2024-11,69531,22,192,2.1,17128,342,4.79
2024-12,77778,51,195,2.29,19655,394,5.19
2025-01,100008,80,286,2.58,20925,758,5.94
2025-02,94943,73,338,2.91,24211,1450,7.39
2025-03,92891,178,412,3.33,26739,754,8.15
2025-04,100202,79,399,3.73,27875,678,8.83
2025-05,104084,76,439,4.17,33749,995,9.82
2025-06,78958,62,328,4.49,25328,644,10.46
2025-07,72878,89,406,4.9,26613,831,11.3
2025-08,94389,77,404,5.3,25400,1132,12.43
2025-09,79067,105,410,5.71,28277,766,13.19
2025-10,94855,206,344,6.06,27729,538,13.73
2025-11,95601,89,313,6.37,40061,664,14.39
2025-12,96646,80,338,6.71,58732,951,15.35
2026-01,123052,119,438,7.15,73608,907,16.25
2026-02,84992,105,691,7.84,46501,826,17.08
2026-03,85601,302,629,8.47,41812,1219,18.3
2026-04,91808,298,1020,9.49,45679,1888,20.18
2026-05,98904,770,787,10.27,52626,1830,22.01
2026-06,85466,495,970,11.24,48333,1790,23.8
2026-07,89993,330,1414,12.66,42263,1881,25.69
2026-08,93613,484,1781,14.44,49160,1836,27.52
