cal_quarter,Microsoft,Alphabet,Amazon,Meta,Oracle
2021Q1,5.1,5.9,12.1,4.3,0.4
2021Q2,6.5,5.5,14.3,4.6,0.7
2021Q3,5.8,6.8,15.7,4.3,1.1
2021Q4,5.9,6.4,18.9,5.4,0.9
2022Q1,5.3,9.8,15,5.4,1.1
2022Q2,6.9,6.8,15.7,7.6,1.4
2022Q3,6.3,7.3,16.4,9.4,1.7
2022Q4,6.3,7.6,16.6,8.8,2.4
2023Q1,6.6,6.3,14.2,6.8,2.6
2023Q2,8.9,6.9,11.5,6.1,1.9
2023Q3,9.9,8.1,12.5,6.5,1.3
2023Q4,9.7,11,14.6,7.6,1.1
2024Q1,11,12,14.9,6.4,1.7
2024Q2,13.9,13.2,17.6,8.2,2.8
2024Q3,14.9,13.1,22.6,8.3,2.3
2024Q4,15.8,14.3,27.8,14.4,4
2025Q1,16.7,17.2,25,12.9,5.9
2025Q2,17.1,22.4,32.2,16.5,9.1
2025Q3,19.4,24,35.1,18.8,8.5
2025Q4,29.9,27.9,39.5,21.4,12
2026Q1,30.9,35.7,44.2,19,18.6
2026Q2,35.8,44.9,54.2,30.1,16.5
