company,month,insider_open_market_sales_musd
SNDK,2025-12,0.2
SNDK,2026-02,2.2
SNDK,2026-05,4.4
SNDK,2026-06,4.6
SNDK,2026-07,1.3
SNDK,2026-08,0.7
SNDK,2026-09,119.4
STX,2025-10,7.6
STX,2025-11,27
STX,2025-12,6.3
STX,2026-01,15.7
STX,2026-02,11.1
STX,2026-03,18
STX,2026-04,8.4
STX,2026-05,60
STX,2026-06,38.8
STX,2026-07,28.5
STX,2026-08,99.8
STX,2026-09,250.7
WDC,2025-11,5.2
WDC,2025-12,5.5
WDC,2026-01,0.1
WDC,2026-02,19.5
WDC,2026-03,9
WDC,2026-04,0.1
WDC,2026-05,16
WDC,2026-06,3.7
WDC,2026-07,2.2
WDC,2026-08,11.8
WDC,2026-09,1.7
