series,period,gross_margin_pct
STX,FY09,14.4
STX,FY10,28.1
STX,FY11,19.6
STX,FY12,31.4
STX,FY13,27.5
STX,FY14,28
STX,FY15,27.7
STX,FY16,23.4
STX,FY17,29.5
STX,FY18,30.1
STX,FY19,28.2
STX,FY20,27
STX,FY21,27.3
STX,FY22,29.7
STX,FY23,18.3
STX,FY24,23.4
STX,FY25,35.2
STX,FY26,45.6
WDC,FY09,17.9
WDC,FY10,24.4
WDC,FY11,18.8
WDC,FY12,29.2
WDC,FY13,28.4
WDC,FY14,28.8
WDC,FY15,29
WDC,FY16,26.4
WDC,FY17,31.8
WDC,FY18,37.3
WDC,FY19,22.6
WDC,FY20,22.6
WDC,FY21,26.7
WDC,FY22,31.3
WDC,FY23,22.2
WDC,FY24,28.1
WDC,FY25,38.8
WDC,FY26,48.9
NAND,2008,1.9
NAND,2009,36
NAND,2010,46.9
NAND,2011,43.1
NAND,2012,33.3
NAND,2013,46.5
NAND,2014,46.3
NAND,2015,40.6
NAND,FY23,7.1
NAND,FY24,16.1
NAND,FY25,30.1
NAND,FY26,71.5
