release_date,model,params_billion
2019-11-05,GPT-2 XL,1.5
2021-06-04,GPT-J,6
2022-04-01,GPT-NeoX,20
2022-05-19,BLOOM,176
2023-02-24,LLaMA-65B,65
2023-08-28,Falcon-180B,180
2024-04-16,Mixtral 8x22B,141
2024-04-21,Snowflake Arctic,482
2024-07-16,Llama 3.1 405B,406
2024-12-25,DeepSeek-V3,685
2025-04-02,Llama 4 Maverick,402
2025-07-11,Kimi K2,1026
2025-10-02,Ling-1T,1000
2026-01-01,Kimi K2.5,1027
2026-02-11,GLM-5,754
2026-04-22,DeepSeek-V4-Pro,1599
2026-06-13,Kimi K3,2780
2026-08-08,Qwen3.8-2.4T,2446
