company,date,close_usd
SNDK,2025-02-13,36
SNDK,2025-02-21,50.37
SNDK,2025-02-28,46.85
SNDK,2025-03-07,51
SNDK,2025-03-14,54.82
SNDK,2025-03-21,53.96
SNDK,2025-03-28,48.97
SNDK,2025-04-04,30.11
SNDK,2025-04-11,31.97
SNDK,2025-04-21,29.81
SNDK,2025-04-28,32.27
SNDK,2025-05-05,34.61
SNDK,2025-05-12,41.27
SNDK,2025-05-19,38.78
SNDK,2025-05-27,38.18
SNDK,2025-06-03,38.64
SNDK,2025-06-10,41.59
SNDK,2025-06-17,44.09
SNDK,2025-06-25,47.25
SNDK,2025-07-02,46.21
SNDK,2025-07-10,46.95
SNDK,2025-07-17,41.52
SNDK,2025-07-24,42.06
SNDK,2025-07-31,42.92
SNDK,2025-08-07,40.69
SNDK,2025-08-14,46.68
SNDK,2025-08-21,45.5
SNDK,2025-08-28,50.87
SNDK,2025-09-05,68.55
SNDK,2025-09-12,86.13
SNDK,2025-09-19,102.21
SNDK,2025-09-26,97.12
SNDK,2025-10-03,128.41
SNDK,2025-10-10,116.91
SNDK,2025-10-17,140.16
SNDK,2025-10-24,186.16
SNDK,2025-10-31,199.33
SNDK,2025-11-07,239.48
SNDK,2025-11-14,254.16
SNDK,2025-11-21,200.27
SNDK,2025-12-01,210.17
SNDK,2025-12-08,225.47
SNDK,2025-12-15,201.87
SNDK,2025-12-22,241.05
SNDK,2025-12-30,240.22
SNDK,2026-01-07,353.56
SNDK,2026-01-14,387.81
SNDK,2026-01-22,503.44
SNDK,2026-01-29,539.3
SNDK,2026-02-05,576.2
SNDK,2026-02-12,630.29
SNDK,2026-02-20,649.97
SNDK,2026-02-27,635.36
SNDK,2026-03-06,527.33
SNDK,2026-03-13,661.62
SNDK,2026-03-20,709.71
SNDK,2026-03-27,615.83
SNDK,2026-04-06,724.63
SNDK,2026-04-13,952.5
SNDK,2026-04-20,913.02
SNDK,2026-04-27,1070.2
SNDK,2026-05-04,1255.86
SNDK,2026-05-11,1547.56
