company,quarter_end,revenue_musd,gross_margin_pct,operating_margin_pct,fcf_musd
SNDK,2023-12-29,1665,9.7,-14.7,
SNDK,2024-03-29,1705,27.2,3.8,-41
SNDK,2024-06-28,1760,36.1,11.3,-168
SNDK,2024-09-27,1883,38.6,15.5,-198
SNDK,2024-12-27,1876,32.3,10.4,47
SNDK,2025-03-28,1695,22.5,-111,-18
SNDK,2025-06-27,1901,26.2,0.9,49
SNDK,2025-10-03,2308,29.8,7.6,438
SNDK,2026-01-02,3025,50.9,35.2,980
SNDK,2026-04-03,5950,78.4,69.1,2993
SNDK,2026-07-03,8965,84.6,78.5,7083
STX,2023-09-29,1454,10.2,-8.9,57
STX,2023-12-29,1555,23.3,8,99
STX,2024-03-29,1655,25.7,8.6,128
STX,2024-06-28,1887,31.8,16.6,380
STX,2024-09-27,2168,32.9,18.6,27
STX,2024-12-27,2325,34.9,21,150
STX,2025-03-28,2160,35.2,20,216
STX,2025-06-27,2444,37.4,23.2,425
STX,2025-10-03,2629,39.4,26.4,427
STX,2026-01-02,2825,41.6,29.8,607
STX,2026-04-03,3112,46.5,32.1,953
STX,2026-07-03,3629,52.3,43,1118
WDC,2023-09-29,1194,20.4,-49.9,-750
WDC,2023-12-29,1367,22.9,-15.4,-242
WDC,2024-03-29,1752,29.6,5.4,-39
WDC,2024-06-28,2004,34.8,-4.5,250
WDC,2024-09-27,2212,36.4,15.1,-62
WDC,2024-12-27,2409,37.7,23.2,287
WDC,2025-03-28,2294,39.8,33.1,379
WDC,2025-06-27,2605,41,26.1,675
WDC,2025-10-03,2818,43.5,28.1,599
WDC,2026-01-02,3017,45.7,30.1,653
WDC,2026-04-03,3337,50.2,35.7,978
WDC,2026-07-03,3747,54.1,41.7,1281
